title,box_off_num
용서는 없다,2178623.1470769113
아빠가 여자를 좋아해,667885.3266825645
하모니,91662.83754174596
의형제,2086198.5877387412
평행 이론,228786.7663047589
회오리 바람,86.4346409330084
경계도시 2,2258.1816013883235
이웃집 남자,119.81638726612786
아마존의 눈물 극장판,154.68482289756787
반가운 살인자,139.69899389312204
집 나온 남자들,335758.49190891907
베스트셀러,103342.33866887556
작은 연못,191.35843300542868
경,1376.127280429094
대한민국 1%,118677.8957156536
포화 속으로,1632234.519369952
나쁜 놈이 더 잘 잔다,7480.316382178091
맨발의 꿈,726353.3281184521
요술,23347.92937305993
마법천자문: 대마왕의 부활을 막아라,32922.47510226998
인플루언스,190.03212090458445
미스터 좀비,5138.521841274168
김복남 살인사건의 전말,2888.0523412928505
엄지아빠,251.80910770265004
탈주,347.132590635593
해결사,276045.762224763
할,2163.512879501325
된장,38029.49211874961
조금만 더 가까이,6202.793882802142
우리 만난 적 있나요,145.12880095689184
쩨쩨한 로맨스,385009.7310634575
용서,140599.7855153362
브라보! 재즈 라이프,6540.708649936038
카페 느와르,2290.201979627669
오래된 인력거,3242.2604308877026
창피해,3437.0580629384467
"양 한 마리, 양 두 마리",932.0028851303233
하얀 정글,1379.6735171226499
다슬이,3393.261593974611
REC 알이씨,39.22709610554924
량강도 아이들,165.65810193147388
티끌모아 로맨스,153358.82585989498
더 킥,614054.6356581121
커플즈,849199.8139802943
오늘,741399.6022638239
완득이,38633.29976439347
은어,106.0621515836469
고래를 찾는 자전거,165.58455048875416
도가니,94766.68880857513
겨울냄새,170.2033124997293
환타스틱 모던가야그머,4367.540069010125
블라인드,302787.95012934203
링크,1956.675806788209
퀵,2865363.9238631325
모비딕,900150.4898677574
굿바이 보이,259.1911620233817
종로의 기적,3793.739131248268
회초리,320742.24782769143
체포왕,673139.6260060684
세상에서 가장 아름다운 이별,1031926.3821266001
나는 아빠다,218779.59299091873
수상한 고객들,882078.4648731094
수상한 이웃들,2041.652888362406
돌아오는 길,105.97146751296557
우리 이웃의 범죄,2206.7386159381444
엄마는 창녀다,100.45596164462249
위험한 상견례,332752.06403993454
간증,8851.308328051531
"사랑한다, 사랑하지 않는다",405325.9025114022
"혜화, 동",1164.7195910602268
글러브,161028.01843031088
가문의 귀환,267103.6556751824
잔혹한 앵글의 로망스,78.52722528185984
나의 PS 파트너,452433.912758786
롤플레이,203.8029791533728
마티나,393.8425952466943
음치 클리닉,3321177.088787474
남영동1985,57712.126686983625
돈 크라이 마미,57865.10232863059
반드시 크게 들을 것 2 : Wild Days,2929.548431937003
범죄소년,17846.62551782336
내가 살인범이다,2547458.0798119316
터치,529.0194139702921
늑대소년,3325672.005174134
맥코리아,867.4562738697913
용의자X,1115477.8619663608
하나안,1513.9878627439173
투 올드 힙합 키드,2805.497352997163
한경직,3385.848649953727
미운오리새끼,268585.78531705943
황제펭귄 펭이와 솜이,1046.563513403429
두 개의 문,1511.1457531420738
I AM,1921291.0678253311
후궁 : 제왕의 첩,1429440.6067311584
"안녕, 하세요!",193813.56272569677
천국의 아이들,286.5914167232808
할머니는 일학년,10191.054840550765
두레소리,255.5113090726805
"봄, 눈",1418921.2640022272
은교,1865854.2966464327
간기남,2126308.027289725
시체가 돌아왔다,1681726.5385441098
말하는 건축가,1426.699783580666
밀월도 가는 길,3333.865109574329
파파,1200336.3780590491
점박이:한반도의 공룡3D,14453.030507391923
댄싱퀸,1561792.601468821
누구의 딸도 아닌 해원,22404.762321540577
신세계,4021592.957350404
굿바이 홈런,2802.4800279661313
불륜의 시대,645.4722293746718
남쪽으로 튀어,1246158.2272092078
좋은 친구들,1256959.2389461813
지슬 - 끝나지 않은 세월 2,9156.014900116681
누구나 제 명에 죽고 싶다,4886.449462544246
사이코메트리,24247.411788400306
환상속의 그대,10808.662746920405
몽타주,1473334.363272899
"힘내세요, 병헌씨",2152.7863013535466
꼭두각시,39965.45164243664
홀리,841.378189682184
마이 라띠마,802562.6365880837
더 테러 라이브,271267.64098779275
슈퍼피쉬 - 끝없는 여정,1451.852645303927
콩가네,251.66920071343088
허풍,562.5344314779348
젊은 엄마,673.9849322745564
노라노,8910.79193122704
노브레싱,44106.35484283261
말하는 건축 시티:홀,9750.812301576094
댄서김의 은밀한 교수법,52.422036074171665
소원,2635506.925087134
고양이 소녀,322.24176212482973
롤플레이 2 : 동침,94.79883664349033
동창생,2176000.0918124276
용의자,6385770.391207929
미녀전쟁,627.0684200446236
캐치미,1033822.4921697733
그 강아지 그 고양이,380968.2506821791
화려한 외출,65.9616020149713
오하이오 삿포로,214.25267598390724
마이 리틀 히어로,2082441.822984453
박수건달,6085307.1983546065
배꼽,108.63781177986203
나가요 미스콜,1644.64288210387
우아한 거짓말,32281.50280432405
미스터 컴퍼니,6570.348104982703
우리별 일호와 얼룩소,3257.83486228196
찌라시: 위험한 소문,1149663.3784446106
조선미녀삼총사,1450081.3043436962
만찬,12102.10441988359
한 번도 안 해본 여자,1333.6112468893234
살인자,91.07976940802962
  이것이 우리의 끝이다,5005.986200954236
그댄 나의 뱀파이어,746.3614710265776
황제를 위하여,132.92887743923177
레디액션! 폭력영화,2926.3691205856794
스퀴시랜드,15740.89944231925
우는 남자,453692.01101291005
하이힐,2144508.9934873753
도희야,13985.47040257905
표적,113725.89756602027
10분,43131.85413815244
메이크 유어 무브,1563510.696661582
카토 프로젝트,447.6531678947847
녀녀녀,641.9712129995708
방황하는 칼날,779365.703788464
바리새인,84.97026195088911
욕망의 독: 중독,1082.099188063114
설계,2311.89408959305
레쓰링,1314.6899427191593
원 컷 - 어느 친절한 살인자의 기록,2702.9789183473417
픽업 아티스트,780.653542521365
옹녀뎐,86.03069485191648
왓니껴,3699.3948465305516
족구왕,8119.03819668144
내 연애의 기억,86.03069485191648
바세코의 아이들,1967.9603411209366
명량,4757896.6335099
군도: 민란의 시대,4140673.1081403457
산타바바라,4952.659048022981
나는 야한 여자가 좋다,306.55485939863576
숙희,475.16556076419096
더 테너 리리코 스핀토,2092.551313187855
기술자들,482275.95047501836
신화 라이브 3D 더 레전드 컨티뉴스,668.2381270642649
악사들,6006.233843980646
울언니,968.4989434728907
정사: 위험한 성적유희,305.1993129514912
레디액션 청춘,72776.64323328421
"제자, 옥한흠",1088.2412189369654
환상,257.7765589426402
위층여자,377.0700811554436
가자! 장미여관으로 3 - 방황,1351.4329399980872
나는 야한 여자가 좋다 3,306.55485939863576
스물,784176.4277327786
그라운드의 이방인,2553.1499409785542
살인의뢰,217867.64948419516
살인캠프,809.8148770245932
헬머니,720621.0422577809
조류인간,452.2460619228954
최강전사 미니특공대 : 새로운 악당의 습격,26846.44138399419
생각보다 맑은,98.62902636815437
고양이 장례식,1406.8902733353675
설해,275460.70596603927
나의 절친 악당들,1501877.1163064798
연평해전,1847969.1510712868
극비수사,1044886.1266958534
성난 화가,843.4783292516328
은밀한 유혹,3209963.1961869597
혜경궁 홍씨,2026.5465181463562
무뢰한,169187.52684238844
간신,438038.95134573797
연애의 맛,152.78553716789472
잡식가족의 딜레마,5368.045554821105
플랑크 상수,330.18205122030867
장수상회,1966035.1095805317
파울볼,95098.31936826486
춘희막이,151.67487690402578
덫: 치명적인 유혹,586.4967573294982
션샤인 러브,74590.91370055395
사도,873802.5746982835
돼지 같은 여자,377235.8981791215
사랑이 이긴다,119149.1870912021
슈퍼레이서 엔지,44994.91867665515
제 7기사단,199.17260860732625
고백,129.66928212892662
미쓰 와이프,746331.1836089629
위로공단,3518.477331087036
베테랑,5180050.978648115
악인은 살아 있다,8641.206401554473
쓰리 썸머 나잇,65092.64383676902
마돈나,39816.06586932373
"나의 아들, 나의 어머니",1072.396109858042
슬픈남자,158.6221684554365
타이밍,7845.922941923542
타투,127.40418985536607
어떤이의 꿈,267.10485198224586
해에게서 소년에게,109.95663173581822
울보 권투부,8480.252034948264
어떤살인,126.89279334194912
말하지 못한 비밀,90.20153255227044
조선안방 스캔들-칠거지악 2,611.2144188001959
